교과목명,학점,강의실,담당교원
"창의적공학설계	3	""401-3142(신공학관(기숙사) 3142 기초설계실습실)","401-3142(신공학관(기숙사) 3142 기초설계실습실)""	신연순",,
"계산적사고법	3	""401-6144(신공학관(기숙사) 6144 강의실)","401-6144(신공학관(기숙사) 6144 강의실)""	문봉교",,
"계산적사고법	3	""401-4147(신공학관(기숙사) 4147 강의실)","401-5143(신공학관(기숙사) 5143 강의실)""	최성연",,
"이산구조	3	""401-5145(신공학관(기숙사) 5145 강의실)","401-6144(신공학관(기숙사) 6144 강의실)""	주태우",,
"이산구조	3	""401-6144(신공학관(기숙사) 6144 강의실)","401-5145(신공학관(기숙사) 5145 강의실)""	주태우",,
"자료구조와실습	3	""401-6144(신공학관(기숙사) 6144 강의실)","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)""	주해종",,
"자료구조와실습	3	""401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)","401-6144(신공학관(기숙사) 6144 강의실)""	이명숙",,
"자료구조와실습	3	""401-6144(신공학관(기숙사) 6144 강의실)","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)""	최은만",,
"객체지향언어와실습	3	""401-10144(신공학관(기숙사) 10144 컴퓨터공학과 세미나실2)","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)""	오세만",,
"객체지향언어와실습	3	""401-10144(신공학관(기숙사) 10144 컴퓨터공학과 세미나실2)","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)""	오세만",,
"객체지향언어와실습	3	""401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)""	주종화",,
"객체지향언어와실습	3	""401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))""	윤성림",,
"이산수학	3	""407-105(정보문화관P P301 강의실)","407-105(정보문화관P P301 강의실)""	주태우",,
"이산수학	3	""407-105(정보문화관P P301 강의실)","407-105(정보문화관P P301 강의실)""	김경자",,
